symbol,sector,baseline_date,baseline_close,end_trade_date,close_end,abs_change,pct_change,note
AAOI,Optics,2026-01-02,39.6,2026-04-17,159.42,119.82,302.58,
ALAB,Optics,2026-01-02,179.56,2026-04-17,174.05,-5.51,-3.07,
AMD,Chip Design & Equipment,2026-01-02,223.47,2026-04-17,278.39,54.92,24.58,
AMZN,Hyperscale Cloud,2026-01-02,226.5,2026-04-17,250.56,24.06,10.62,
ANET,Networking,2026-01-02,133.6,2026-04-17,164.23,30.63,22.93,
APH,Networking,2026-01-02,139.71,2026-04-17,151.06,11.35,8.12,
APLD,Neocloud,2026-01-02,28.11,2026-04-17,31.53,3.42,12.17,
ARM,Chip Design & Equipment,2026-01-02,114.73,2026-04-17,166.73,52.0,45.32,
ASML,Chip Design & Equipment,2026-01-02,1163.78,2026-04-17,1459.8,296.02,25.44,
AVGO,Chip Design & Equipment,2026-01-02,347.62,2026-04-17,406.54,58.92,16.95,
BE,Energy Infrastructure,2026-01-02,98.69,2026-04-17,207.86,109.17,110.62,
CEG,Energy Infrastructure,2026-01-02,366.25,2026-04-17,296.21,-70.04,-19.12,
CIEN,Networking,2026-01-02,246.06,2026-04-17,507.43,261.37,106.22,
CIFR,Compute Mining,2026-01-02,16.2,2026-04-17,19.37,3.17,19.57,
CLS,Manufacturing,2026-01-02,302.4,2026-04-17,396.01,93.61,30.96,
COHR,Optics,2026-01-02,194.33,2026-04-17,345.02,150.69,77.54,
CRDO,Networking,2026-01-02,143.22,2026-04-17,160.69,17.47,12.2,
CRWV,Neocloud,2026-01-02,79.32,2026-04-17,116.85,37.53,47.31,
DELL,Servers & Thermal,2026-01-02,127.8,2026-04-17,196.55,68.75,53.79,
EOSE,Battery & Storage,2026-01-02,12.97,2026-04-17,7.16,-5.81,-44.8,
FLEX,Manufacturing,2026-01-02,63.68,2026-04-17,81.83,18.15,28.5,
FLNC,Battery & Storage,2026-01-02,23.01,2026-04-17,13.54,-9.47,-41.16,
FN,Manufacturing,2026-01-02,479.42,2026-04-17,689.89,210.47,43.9,
GEV,Energy Infrastructure,2026-01-02,679.55,2026-04-17,1002.75,323.2,47.56,
GLXY,Neocloud,2026-01-02,24.75,2026-04-17,25.84,1.09,4.4,
GOOGL,Hyperscale Cloud,2026-01-02,315.15,2026-04-17,341.68,26.53,8.42,
HUT,Compute Mining,2026-01-02,51.27,2026-04-17,74.9,23.63,46.09,
INTC,Foundry,2026-01-02,39.38,2026-04-17,68.5,29.12,73.95,
IREN,Compute Mining,2026-01-02,42.7,2026-04-17,48.12,5.42,12.69,
LEU,Energy Infrastructure,2026-01-02,272.5,2026-04-17,203.63,-68.87,-25.27,
LITE,Optics,2026-01-02,386.11,2026-04-17,894.07,507.96,131.56,
MSFT,Hyperscale Cloud,2026-01-02,472.94,2026-04-17,422.79,-50.15,-10.6,
MU,Memory,2026-01-02,315.42,2026-04-17,455.07,139.65,44.27,
NBIS,Neocloud,2026-01-02,89.95,2026-04-17,157.14,67.19,74.7,
NUAI,Neocloud,2026-01-02,3.44,2026-04-17,4.61,1.17,34.01,
NVDA,Chip Design & Equipment,2026-01-02,188.85,2026-04-17,201.68,12.83,6.79,
OKLO,Energy Infrastructure,2026-01-02,77.8,2026-04-17,66.81,-10.99,-14.13,
ORCL,Hyperscale Cloud,2026-01-02,195.71,2026-04-17,175.06,-20.65,-10.55,
PSTG,Memory,2026-01-02,69.01,2026-04-16,67.8,-1.21,-1.75,proxy_end_2026-04-16
SANM,Manufacturing,2026-01-02,159.29,2026-04-17,174.09,14.8,9.29,
SLDP,Battery & Storage,2026-01-02,4.65,2026-04-17,3.37,-1.28,-27.53,
SMTC,Optics,2026-01-02,75.26,2026-04-17,107.71,32.45,43.12,
SNDK,Memory,2026-01-02,275.24,2026-04-17,920.99,645.75,234.61,
STX,Memory,2026-01-02,287.54,2026-04-17,547.75,260.21,90.5,
TLN,Energy Infrastructure,2026-01-02,396.73,2026-04-17,365.35,-31.38,-7.91,
TSM,Foundry,2026-01-02,319.61,2026-04-17,370.5,50.89,15.92,
VRT,Servers & Thermal,2026-01-02,175.61,2026-04-17,307.34,131.73,75.01,
VST,Energy Infrastructure,2026-01-02,165.23,2026-04-17,163.46,-1.77,-1.07,
WDC,Memory,2026-01-02,187.7,2026-04-17,372.52,184.82,98.47,
WULF,Compute Mining,2026-01-02,12.74,2026-04-17,20.64,7.9,62.01,
